TS_LOAD,OPR_NAME,VEH_SER_NO,DEPARTMENT_ABBR,DEPARTMENT_NAME
2017-03-06 06:37:44.899752,Pool 60 Start,UZV267,FCB,Final Cab
2017-03-07 15:29:49.682189,PAINT,DUT829,PNT,Paint
2017-03-08 13:22:59.324957,Chassis Start,VFR160,PCH,Pre-Paint Chassis
2017-03-08 10:35:22.964050,Enter Offline,WRD572,OFF,Offline
2017-03-06 15:44:26.091680,Pool 13 Start,CSM507,ENG,Pre-Paint Chassis
2017-03-08 16:52:10.619701,None,MBG962,None,None
2017-03-08 11:01:09.799668,CIW upload,KUR214,CIW,Cab In White
2017-03-08 12:30:17.423468,Pool 60 Start,GSF615,FCB,Final Cab
2017-03-08 17:30:34.249648,CIW upload,QLV652,CIW,Cab In White
2017-03-09 07:40:06.483806,Cab Upload,THO850,FCB,Final Cab
2017-03-08 16:21:18.601512,Pool 60 Start,EBL860,FCB,Final Cab
2017-03-08 13:49:36.755548,CIW upload,TEK452,CIW,Cab In White
2017-03-06 08:39:31.502322,None,PVZ436,None,None
2017-03-09 18:19:46.492291,CIW upload,BYF840,CIW,Cab In White
2017-03-08 05:48:45.312856,Enter Offline,FQP941,OFF,Offline
2017-03-06 16:49:53.253907,Enter Offline,WTB963,OFF,Offline
2017-03-08 12:54:51.825871,Enter Offline,NTD012,OFF,Offline
2017-03-07 09:51:12.194031,Enter Offline,WBR310,OFF,Offline
2017-03-08 14:52:09.526309,CIW upload,BJM584,CIW,Cab In White
2017-03-07 16:04:52.667091,None,ZJC386,None,None
2017-03-09 18:05:06.488163,CIW upload,FHL296,CIW,Cab In White
2017-03-06 14:15:57.916985,Pool 60 Start,ELJ539,FCB,Final Cab
2017-03-07 16:04:56.994657,None,HQI892,None,None
2017-03-07 20:05:35.541315,Cab Upload,OSR174,FCB,Final Cab
2017-03-06 06:59:40.520958,Enter Offline,CQU695,OFF,Offline
2017-03-10 09:19:20.914926,CIW upload,FHL296,CIW,Cab In White
2017-03-06 16:06:30.324182,Pool 60 Start,DKW659,FCB,Final Cab
2017-03-09 11:28:31.695166,CIW upload,SEU602,CIW,Cab In White
2017-03-08 12:51:32.608092,PAINT,EBL860,PNT,Paint
2017-03-10 10:34:31.644489,Pool 60 Start,TMU402,FCB,Final Cab
2017-03-07 10:38:37.480694,Cab Upload,EUL768,FCB,Final Cab
2017-03-07 11:39:33.107939,None,QTI468,None,None
2017-03-06 10:26:50.679545,None,DZV145,None,None
2017-03-07 08:46:30.885679,None,BPM756,None,None
2017-03-09 11:46:50.368070,CIW upload,ZJC386,CIW,Cab In White
2017-03-07 16:55:00.287275,Enter Offline,TXR569,OFF,Offline
2017-03-10 08:36:55.176586,Pool 60 Start,CMI143,FCB,Final Cab
2017-03-09 19:54:20.455907,CIW upload,QTI468,CIW,Cab In White
2017-03-09 07:15:37.114356,CIW upload,PVO367,CIW,Cab In White
2017-03-07 07:50:49.534828,None,JOM027,None,None
2017-03-07 12:51:31.507425,CIW upload,EBL860,CIW,Cab In White
2017-03-06 14:51:35.864422,Sold,YBJ023,SOLD,Sold
2017-03-07 12:13:16.409704,CIW upload,ZKY831,CIW,Cab In White
2017-03-06 15:02:34.501388,Pool 60 Start,MBP046,FCB,Final Cab
2017-03-08 08:58:47.473819,None,IMS267,None,None
2017-03-08 06:57:28.852010,Front U-Bolt,QDR380,PCH,Pre-Paint Chassis
2017-03-06 08:35:59.158127,Chassis Start,SYB619,PCH,Pre-Paint Chassis
2017-03-07 08:26:12.547009,Enter Offline,TMU402,OFF,Offline
2017-03-08 18:46:47.084529,Enter Offline,SEU602,OFF,Offline
2017-03-07 10:37:49.460009,None,SPF970,None,None
2017-03-07 05:43:27.882188,Pool 60 Start,OTS758,FCB,Final Cab
2017-03-08 10:59:54.281229,Cab Upload,KSX968,FCB,Final Cab
2017-03-10 10:46:01.520700,Enter Offline,OQS570,OFF,Offline
2017-03-07 15:41:02.141256,None,SEU602,None,None
2017-03-10 10:32:44.482895,Cab Upload,FTI653,FCB,Final Cab
2017-03-08 13:43:20.533570,Pool 60 Start,SYV137,FCB,Final Cab
