TS_LOAD;PAINT_COMP;REPAINT_REQ_INDC;VEH_SER_NO
2017-03-10 03:55:45.104197;CAB;N;PVO367
2017-03-10 03:55:52.251860;CAB;N;PVO367
2017-03-10 04:10:19.218807;CAB;N;JCV863
2017-03-10 04:10:59.469460;CAB;N;JCV863
2017-03-10 04:11:04.880502;CAB;N;JCV863
2017-03-10 04:15:44.466976;CAB;N;NTD012
2017-03-10 04:15:53.575505;CAB;N;NTD012
2017-03-10 04:18:07.171679;CAB;N;NTD012
2017-03-10 04:24:01.370255;CAB;Y;PVO367
2017-03-10 04:24:06.452210;CAB;Y;PVO367
2017-03-10 04:28:08.618455;CAB;Y;PVO367
2017-03-10 04:28:20.248462;CAB;N;PVO367
2017-03-10 04:28:27.948195;CAB;N;PVO367
2017-03-10 04:28:34.607828;CAB;N;PVO367
2017-03-10 04:48:28.313387;CAB;N;ETS067
2017-03-10 04:48:33.149662;CAB;N;ETS067
2017-03-10 04:49:45.099365;CAB;N;ETS067
2017-03-10 05:15:22.932002;CAB;N;AQG261
2017-03-10 05:15:27.637092;CAB;N;AQG261
2017-03-10 05:15:35.162863;CAB;N;AQG261
2017-03-10 05:15:40.578451;CAB;N;AQG261
2017-03-10 05:15:50.210072;CAB;N;AQG261
2017-03-10 05:15:51.553152;CAB;N;AQG261
2017-03-10 05:16:00.638522;CAB;N;AQG261
2017-03-10 05:16:22.014007;CAB;N;AQG261
2017-03-10 05:30:54.834454;CAB;N;YHP863
2017-03-10 05:31:41.906135;CAB;N;KIA624
2017-03-10 05:31:47.134820;CAB;N;KIA624
2017-03-10 05:41:39.183417;CAB;Y;YHP863
2017-03-10 05:41:43.991958;CAB;Y;YHP863
2017-03-10 05:48:35.420264;CAB;Y;YHP863
2017-03-10 05:49:14.517204;CAB;N;YHP863
2017-03-10 05:49:20.897799;CAB;N;YHP863
2017-03-10 05:53:39.082921;CAB;N;EZV240
2017-03-10 05:55:04.211542;CAB;N;EZV240
2017-03-10 05:55:09.802409;CAB;N;EZV240
2017-03-10 05:55:15.449751;CAB;Y;EZV240
2017-03-10 05:59:20.444640;CAB;N;EZV240
2017-03-10 06:00:19.401227;CAB;N;MGR987
2017-03-10 06:08:45.472677;CAB;N;MGR987
2017-03-10 06:08:53.795708;CAB;N;MGR987
2017-03-10 06:13:31.884488;CAB;N;FPI264
2017-03-10 06:13:59.933905;CAB;N;FPI264
2017-03-10 06:15:04.728344;CAB;N;FPI264
2017-03-10 06:15:35.474841;CAB;N;FPI264
2017-03-10 06:15:25.061608;CAB;N;FPI264
2017-03-10 06:15:44.047834;CAB;N;FPI264
2017-03-10 06:20:44.901835;CAB;N;HXT823
2017-03-10 06:20:51.738088;CAB;N;HXT823
2017-03-10 06:20:57.905265;CAB;N;HXT823
2017-03-10 06:21:04.531342;CAB;N;HXT823
2017-03-10 06:26:27.764352;CAB;Y;MGR987
2017-03-10 06:35:29.163436;CAB;N;TXR569
2017-03-10 06:35:36.985670;CAB;N;TXR569
2017-03-10 06:35:43.348509;CAB;N;TXR569
2017-03-10 06:35:57.751851;CAB;N;TXR569
2017-03-10 06:37:40.939811;CAB;N;HXT823
2017-03-10 06:47:42.259802;CAB;N;CRN086
2017-03-10 06:49:32.147939;CAB;N;BYF840
2017-03-10 06:49:36.235665;CAB;N;BYF840
2017-03-10 06:49:44.840255;CAB;N;BYF840
2017-03-10 06:49:53.916058;CAB;N;BYF840
2017-03-10 06:50:07.739843;CAB;N;BYF840
2017-03-10 06:50:58.015691;CAB;N;TXR569
2017-03-10 06:57:16.685461;CAB;N;XET976
2017-03-10 06:57:22.874217;CAB;Y;XET976
2017-03-10 07:01:23.230127;CAB;N;ZJC386
2017-03-10 07:02:41.085123;CAB;N;ZJC386
2017-03-10 07:02:50.171991;CAB;N;ZJC386
2017-03-10 07:02:56.272068;CAB;N;ZJC386
2017-03-10 07:03:29.342571;CAB;N;ZJC386
2017-03-10 07:03:44.435629;CAB;N;BYF840
2017-03-10 07:03:48.720538;CAB;N;BYF840
2017-03-10 07:03:54.072605;CAB;N;BYF840
2017-03-10 07:04:21.799778;CAB;N;BYF840
2017-03-10 07:04:33.686317;CAB;N;ZJC386
2017-03-10 07:16:17.903463;CAB;N;ZJK473
2017-03-10 07:17:29.894822;CAB;N;ZJK473
2017-03-10 07:17:37.489707;CAB;N;ZJK473
2017-03-10 07:18:31.665109;CAB;N;ZJK473
2017-03-10 07:19:59.535166;CAB;N;ZJK473
2017-03-10 07:20:31.351060;CAB;N;ZJK473
2017-03-10 07:20:57.918732;CAB;N;ZJC386
2017-03-10 07:21:03.004596;CAB;N;ZJC386
2017-03-10 07:21:33.769740;CAB;N;ZJC386
2017-03-10 07:27:13.663686;CAB;N;DKE275
2017-03-10 07:30:39.440072;CAB;N;ZJK473
2017-03-10 07:31:26.711134;CAB;N;ZJK473
2017-03-10 07:31:39.579437;CAB;N;ZJK473
2017-03-10 07:31:46.228771;CAB;N;ZJK473
2017-03-10 07:32:14.319698;CAB;N;ZJK473
2017-03-10 07:32:22.600518;CAB;N;ZJK473
2017-03-10 07:33:07.418896;CAB;N;MBG962
2017-03-10 07:33:11.929023;CAB;N;MBG962
2017-03-10 07:33:18.081287;CAB;N;MBG962
2017-03-10 07:35:26.517729;CAB;N;MBG962
2017-03-10 07:35:44.153646;CAB;N;MBG962
2017-03-10 07:35:53.931518;CAB;N;MBG962
2017-03-10 07:36:32.158082;CAB;N;MBG962
2017-03-10 07:39:29.480438;CAB;N;DKE275
2017-03-10 07:40:07.885453;CAB;N;DKE275
2017-03-10 07:41:20.595842;CAB;N;WQS294
2017-03-10 08:26:07.185774;CAB;N;MBG962
2017-03-10 08:26:18.967043;CAB;N;MBG962
2017-03-10 08:26:54.732757;CAB;N;MBG962
2017-03-10 08:27:00.364665;CAB;N;MBG962
2017-03-10 08:31:09.305818;CAB;N;LES327
2017-03-10 08:32:12.674376;CAB;Y;WQS294
2017-03-10 08:33:12.226494;CAB;N;LES327
2017-03-10 08:33:19.435957;CAB;N;LES327
2017-03-10 08:33:28.249630;CAB;N;LES327
2017-03-10 08:33:37.070836;CAB;N;LES327
2017-03-10 08:35:43.283130;CAB;Y;WQS294
2017-03-10 08:36:26.068957;CAB;Y;WQS294
2017-03-10 08:40:08.704281;CAB;N;LES327
2017-03-10 08:41:41.747642;CAB;N;KTN409
2017-03-10 08:41:37.497191;CAB;N;KTN409
2017-03-10 08:41:47.381695;CAB;N;KTN409
2017-03-10 08:42:37.625668;CAB;N;KTN409
2017-03-10 08:42:42.824793;CAB;N;KTN409
2017-03-10 08:43:01.097501;CAB;N;KTN409
2017-03-10 08:45:06.907619;CAB;N;MUJ483
2017-03-10 08:45:11.974658;CAB;N;MUJ483
2017-03-10 08:47:29.479012;CAB;N;KTN409
2017-03-10 08:52:00.223888;CAB;N;KTN409
2017-03-10 08:52:25.374798;CAB;N;KTN409
2017-03-10 08:52:52.527210;CAB;N;KTN409
2017-03-10 08:52:57.941828;CAB;N;KTN409
2017-03-10 08:53:05.461410;CAB;N;KTN409
2017-03-10 08:53:11.184251;CAB;N;KTN409
2017-03-10 08:53:32.758923;CAB;N;MUJ483
2017-03-10 09:00:09.163036;CAB;N;RUK258
2017-03-10 09:00:16.195479;CAB;N;RUK258
2017-03-10 09:06:19.775126;CAB;N;UZV267
2017-03-10 09:06:28.367799;CAB;N;UZV267
2017-03-10 09:07:09.421072;CAB;N;UZV267
2017-03-10 09:07:15.018728;CAB;N;UZV267
2017-03-10 09:07:20.746190;CAB;N;UZV267
2017-03-10 09:08:23.394951;CAB;N;UZV267
