TS_LOAD;SYS_DESC;VEH_SER_NO;OPR_NAME
2017-03-09 08:50:56.433000;Assembly Line Tracker;YCR723;Pool 60 Start
2017-03-09 08:50:57.190000;Assembly Line Tracker;SEK173;Pool 60 Start
2017-03-09 08:50:57.923000;Assembly Line Tracker;AHN391;Pool 60 Start
2017-03-09 08:50:58.613000;Assembly Line Tracker;EVB234;Pool 13 Start
2017-03-09 08:51:00.000000;STVMS Tracking Top Station;TRJ645;Top Station
2017-03-09 08:51:05.000000;STVMS Tracking Top Station;CSV482;Top Station
2017-03-09 08:51:09.000000;STVMS Tracking Top Station;NHZ581;Top Station
2017-03-09 08:51:13.000000;STVMS Tracking Top Station;YZU059;Top Station
2017-03-09 08:51:17.000000;STVMS Tracking Top Station;FZA809;Top Station
2017-03-09 08:51:20.000000;STVMS Tracking Top Station;APZ612;Top Station
2017-03-09 08:51:24.000000;STVMS Tracking Top Station;YWI795;Top Station
2017-03-09 08:51:30.000000;STVMS Tracking Top Station;EVB234;Top Station
2017-03-09 08:51:34.000000;STVMS Tracking Top Station;QRM025;Top Station
