TS_LOAD;SYS_DESC;VEH_SER_NO;OPR_NAME
2017-03-08 13:40:53.627000;Assembly Line Tracker;VCM016;Pool 60 Start
2017-03-08 13:41:02.000000;U-BOLT;PVZ436;Rear U-Bolt
2017-03-08 13:43:49.380000;Cab in white conveyer;IVC016;CIW upload
2017-03-08 13:44:57.043515;Paint Inspection;YZU059;PAINT
2017-03-08 13:45:13.000000;STVMS Tracking Chassis Start;FHU982;Chassis Start
2017-03-08 13:47:35.440000;OMT Offline Tracking;ZDI213;Enter Offline
2017-03-08 13:48:23.000000;U-BOLT;JKZ317;Rear U-Bolt
2017-03-08 13:48:27.300000;OMT Offline Tracking;KSX968;Enter Offline
2017-03-08 13:48:41.000000;U-BOLT;JKZ317;Front U-Bolt
2017-03-08 13:49:19.320000;Cab in white conveyer;QTF497;CIW upload
2017-03-08 13:49:49.283000;Cab Conveyer;LTV094;Cab Upload 2
2017-03-08 13:49:49.283000;Cab Conveyor / Monorail;LTV094;Cab Upload
2017-03-08 13:51:07.655090;Paint Inspection;FZA809;PAINT
2017-03-08 13:51:49.000000;STVMS Tracking Chassis Start;YCR723;Chassis Start
2017-03-08 13:52:40.347000;Cab Call Scan;QBR938;B Line
2017-03-08 13:53:27.367000;Cab Conveyer;ZIQ738;Cab Upload 2
2017-03-08 13:53:27.367000;Cab Conveyor / Monorail;ZIQ738;Cab Upload
2017-03-08 13:56:05.463000;Cab call scan;TZO690;A Line
2017-03-08 13:56:36.453000;Cab in white conveyer;AQG261;CIW upload
2017-03-08 13:56:53.000000;U-BOLT;VFR160;Front U-Bolt
2017-03-08 13:58:15.283000;OMT Offline Tracking;KMA503;Enter Offline
2017-03-08 14:00:17.870000;Cab Conveyer;YAP829;Cab Upload 2
2017-03-08 14:00:17.870000;Cab Conveyor / Monorail;YAP829;Cab Upload
2017-03-08 14:00:50.903000;Assembly Line Tracker;YCR723;Pool 13 Start
2017-03-08 14:00:51.850000;Assembly Line Tracker;FHU982;Pool 13 Start
2017-03-08 14:00:52.790000;Assembly Line Tracker;IOU412;Pool 13 Start
2017-03-08 14:01:11.144959;Paint Inspection;NHZ581;PAINT
2017-03-08 14:02:17.920000;Cab in white conveyer;YKL719;CIW upload
2017-03-08 14:02:56.827000;Cab Conveyer;THO850;Cab Upload 2
2017-03-08 14:02:56.827000;Cab Conveyor / Monorail;THO850;Cab Upload
2017-03-08 14:03:03.000000;U-BOLT;ZKY831;Rear U-Bolt
2017-03-08 14:03:04.000000;U-BOLT;ZKY831;Front U-Bolt
2017-03-08 14:04:04.513000;OMT Offline Tracking;XFN395;Enter Offline
2017-03-08 14:07:19.983000;OMT Offline Tracking;TFX540;Enter Offline
2017-03-08 14:07:19.983000;OMT Offline Tracking;TFX540;Sold
2017-03-08 14:08:02.000000;STVMS Tracking Chassis Start;EBL860;Chassis Start
2017-03-08 14:08:06.000000;STVMS Tracking Chassis Start;AHN391;Chassis Start
2017-03-08 14:09:12.927000;Cab call scan;LED479;A Line
2017-03-08 14:10:34.000000;U-BOLT;AYO527;Rear U-Bolt
2017-03-08 14:10:52.467000;Cab Call Scan;YBJ023;B Line
2017-03-08 14:11:16.000000;STVMS Tracking Top Station;FHU982;Top Station
2017-03-08 14:11:16.000000;U-BOLT;AYO527;Front U-Bolt
2017-03-08 14:11:22.000000;STVMS Tracking Top Station;IOU412;Top Station
2017-03-08 14:13:51.513000;Cab Conveyer;ARS065;Cab Upload 2
2017-03-08 14:13:51.513000;Cab Conveyor / Monorail;ARS065;Cab Upload
2017-03-08 14:14:29.000000;STVMS Tracking Chassis Start;KFN372;Chassis Start
2017-03-08 14:15:52.540000;Assembly Line Tracker;EBL860;Pool 13 Start
2017-03-08 14:15:53.550000;Assembly Line Tracker;IOU412;Pool 60 Start
2017-03-08 14:15:54.547000;Assembly Line Tracker;FHU982;Pool 60 Start
2017-03-08 14:17:32.000000;U-BOLT;KNR831;Front U-Bolt
2017-03-08 14:17:57.987000;Cab Conveyer;EZQ530;Cab Upload 2
2017-03-08 14:17:57.987000;Cab Conveyor / Monorail;EZQ530;Cab Upload
2017-03-08 14:19:00.000000;STVMS Tracking Top Station;EBL860;Top Station
2017-03-08 14:20:09.000000;U-BOLT;KNR831;Rear U-Bolt
